identifier,servus_bonus_dominus_domina_medicus_ancilla_video,urbs_miles_domus_pater_totus_neo_exercitus,urbs_romani_postquam_bellum_primus_chr_n,defendo_malus_finis_civitas_tandem_oppidum_subito,pugno_germanus_vir_nonne_bestia_harena_miser,deus_imperator_colo_agricola_ager_domus_romanus,facio_castra_legio_ito_exercitus_tempus_cognosco,amicus_lucius_marcus_video_alius_venio_campus,senatus_jubeo_aeneus_mors_periculum_tantus_filius,mercator_navis_pirata_ito_capio_italiae_alius,juvenis_alius_dominus_tonsor_servus_locus_ludo,romani_senator_publicus_consul_rex_populus_civis
LatinumB:12.9,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547
LatinumB:12.10,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
LatinumB:12.11,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903,0.00242718446601942,0.00242718446601942,0.00242718446601942
LatinumB:13.1,0.00163398692810458,0.00163398692810458,0.573529411764706,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.246732026143791
LatinumB:13.2,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.00381679389312977
LatinumB:13.3,0.00471698113207547,0.00471698113207547,0.712264150943396,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849,0.00471698113207547,0.00471698113207547,0.00471698113207547
LatinumB:13.4,0.00320512820512821,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
LatinumB:13.5,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
LatinumB:13.6,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
LatinumB:13.7,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.194656488549618
LatinumB:13.8,0.00320512820512821,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
LatinumB:13.9,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.303625377643505,0.00151057401812689,0.303625377643505,0.152567975830816,0.00151057401812689,0.22809667673716
LatinumB:13.10,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.901785714285714,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
LatinumB:13.11,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.385496183206107,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.576335877862595,0.00381679389312977
LatinumB:13.12,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.455357142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.455357142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143
LatinumB:13.13,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.00381679389312977
LatinumB:14.1,0.00216450216450216,0.00216450216450216,0.976190476190476,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
LatinumB:14.2,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547
