identifier,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.102.3,0.000899280575539568,0.000899280575539568,0.045863309352518,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.675359712230216,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.27068345323741
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.102.4,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.0591647331786543,0.00116009280742459,0.00116009280742459,0.349187935034803,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.581206496519722
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.103.1,0.000825082508250825,0.000825082508250825,0.372112211221122,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.248349834983498,0.000825082508250825,0.000825082508250825,0.372112211221122,0.000825082508250825
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.103.2,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.572765072765073,0.208939708939709,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.208939708939709,0.00103950103950104
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.103.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.754237288135593,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.236346516007533
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.103.4,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.838089330024814,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.0626550868486352,0.0936724565756824,0.000620347394540943,0.000620347394540943
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.104.1,0.000382848392036753,0.000382848392036753,0.000382848392036753,0.000382848392036753,0.000382848392036753,0.478943338437979,0.000382848392036753,0.000382848392036753,0.364088820826952,0.000382848392036753,0.153522205206738,0.000382848392036753
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.104.2,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.351051401869159,0.0882009345794392,0.526285046728972,0.00058411214953271,0.0297897196261682,0.00058411214953271,0.00058411214953271
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.104.3,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.465197215777262,0.407192575406032,0.00116009280742459,0.00116009280742459,0.117169373549884,0.00116009280742459,0.00116009280742459,0.00116009280742459
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.105.1,0.00103950103950104,0.624740124740125,0.00103950103950104,0.156964656964657,0.00103950103950104,0.208939708939709,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.105.2,0.000484966052376334,0.533947623666343,0.000484966052376334,0.461202715809893,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.105.3,0.00131233595800525,0.00131233595800525,0.591863517060367,0.329396325459318,0.00131233595800525,0.0669291338582677,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.1.1,0.000497017892644135,0.000497017892644135,0.000497017892644135,0.000497017892644135,0.149602385685885,0.323558648111332,0.000497017892644135,0.000497017892644135,0.174453280318091,0.000497017892644135,0.298707753479125,0.0501988071570577
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.1.2,0.000792393026941363,0.0800316957210777,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.753565768621236,0.000792393026941363,0.159270998415214,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.1.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.895480225988701,0.000941619585687382,0.000941619585687382,0.0951035781544256,0.000941619585687382,0.000941619585687382,0.000941619585687382
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.1.4,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.191310975609756,0.496189024390244,0.00076219512195122,0.00076219512195122,0.305640243902439,0.00076219512195122,0.00076219512195122
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.1.5,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.991283676703645,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.2.1,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.134801288936627,0.000537056928034372,0.403329752953813,0.000537056928034372,0.000537056928034372,0.322771213748657,0.000537056928034372,0.000537056928034372,0.134801288936627
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7.2.2,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.624555160142349,0.179715302491103
