identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghgh.33,0.000823045267489712,0.000823045267489712,0.330041152263374,0.000823045267489712,0.000823045267489712,0.494650205761317,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.165432098765432,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712
urn:cts:perslit:sanaee.divans:ghgh.34,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.576954732510288,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.412345679012346
urn:cts:perslit:sanaee.divans:ghgh.35,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.266920152091255,0.000760456273764259,0.000760456273764259,0.380988593155894,0.000760456273764259,0.304942965779468,0.0387832699619772
urn:cts:perslit:sanaee.divans:ghgh.36,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.203324099722992,0.000184672206832872,0.14792243767313,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.000184672206832872,0.443397968605725,0.203324099722992
urn:cts:perslit:sanaee.divans:ghgh.37,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.103321878579611,0.30950744558992,0.0689576174112256,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.000229095074455899,0.206414662084765,0.30950744558992
urn:cts:perslit:sanaee.divans:ghgh.38,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.190697674418605,0.296405919661734,0.444397463002114,0.0638477801268499,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516
urn:cts:perslit:sanaee.divans:ghgh.39,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.763228699551569,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.225112107623318
urn:cts:perslit:sanaee.divans:ghgh.3,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.232980972515856,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.000422832980972516,0.0215644820295983,0.486680761099366,0.254122621564482,0.000422832980972516
urn:cts:perslit:sanaee.divans:ghgh.40,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.426004728132388,0.189598108747045,0.142316784869976,0.000472813238770686,0.000472813238770686,0.236879432624113,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686,0.000472813238770686
urn:cts:perslit:sanaee.divans:ghgh.41,0.0309341500765697,0.000306278713629403,0.000306278713629403,0.000306278713629403,0.827258805513017,0.000306278713629403,0.000306278713629403,0.000306278713629403,0.0768759571209801,0.000306278713629403,0.000306278713629403,0.000306278713629403,0.000306278713629403,0.06156202143951,0.000306278713629403
