identifier,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.1,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.309113300492611,0.00123152709359606,0.00123152709359606,0.124384236453202,0.062807881773399,0.49384236453202
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.2,0.00177935943060498,0.5355871886121,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.446619217081851
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.3,0.001953125,0.783203125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.197265625
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.4,0.00103950103950104,0.832640332640333,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.156964656964657
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.5,0.00151057401812689,0.454682779456193,0.00151057401812689,0.22809667673716,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.303625377643505,0.00151057401812689
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.113.6,0.000620347394540943,0.000620347394540943,0.279776674937965,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.0626550868486352,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.55893300248139,0.0936724565756824
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.114.1,0.000708215297450425,0.602691218130312,0.0361189801699717,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.354815864022663
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.114.2,0.000899280575539568,0.000899280575539568,0.225719424460432,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.765287769784173
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.114.3,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.529761904761905,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.463624338624339
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.114.4,0.360611510791367,0.000899280575539568,0.360611510791367,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.045863309352518,0.225719424460432,0.000899280575539568,0.000899280575539568
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.1,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.422752808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.563202247191011
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.2,0.001953125,0.001953125,0.685546875,0.001953125,0.001953125,0.294921875,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.424670433145009,0.000941619585687382,0.000941619585687382,0.236346516007533,0.0480225988700565,0.000941619585687382,0.283427495291902
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.4,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.14185393258427,0.35252808988764,0.492977528089888,0.00140449438202247
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.5,0.00163398692810458,0.00163398692810458,0.736928104575163,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.165032679738562,0.00163398692810458,0.0833333333333333,0.00163398692810458
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.115.6,0.00140449438202247,0.00140449438202247,0.773876404494382,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.212078651685393
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116.1,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.703651685393259,0.282303370786517,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116.2,0.80448717948718,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.116.3,0.973300970873786,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.1.1,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.676715176715177,0.00103950103950104,0.00103950103950104,0.312889812889813,0.00103950103950104,0.00103950103950104,0.00103950103950104
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.1.2,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.0869191049913942,0.474182444061962,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.431153184165232,0.000860585197934596
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.1.3,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.424670433145009,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.330508474576271,0.236346516007533
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.1.4,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.454682779456193,0.00151057401812689,0.00151057401812689,0.454682779456193,0.00151057401812689,0.0770392749244713,0.00151057401812689
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.2.1,0.98723897911833,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.2.2,0.00216450216450216,0.00216450216450216,0.867965367965368,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.11038961038961,0.00216450216450216,0.00216450216450216,0.00216450216450216
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.2.3,0.000825082508250825,0.000825082508250825,0.207095709570957,0.000825082508250825,0.000825082508250825,0.578382838283828,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.0833333333333333,0.124587458745875
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.2.4,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.268683274021352,0.00177935943060498,0.00177935943060498,0.713523131672598
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:4.3.1,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.85521582733813,0.000899280575539568,0.135791366906475,0.000899280575539568
